--target target
--mode classify
--classifiers knn lgbm rf lr sgd mlp svm dummy
--regressors knn lgbm rf elastic sgd mlp svm dummy
--feat-select filter embed wrap
--embed-select lgbm linear
--wrapper-select step-up
--wrapper-model linear
--norm robust
--nan drop median
--filter-method assoc pred
--filter-assoc-cont-classify mut_info
--filter-assoc-cat-classify mut_info
--filter-assoc-cont-regress mut_info
--filter-assoc-cat-regress mut_info
--filter-pred-regress mae
--filter-pred-classify acc
--htune-trials 50
--htune-cls-metric acc
--htune-reg-metric mae
--test-val-size 0.4
--outdir ./df_analyze_results

f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,target
0.9102531868576089,2.702836045848999,0.01637527822157415,-0.5204607529087977,0.5958323822752472,-2.4082722085640897,-0.9661455686339253,0.08580865420938076,-0.8353018207001461,0.09519918625174568,-0.009337745991847755,0.6075980881946231,-0.9698906247039268,-0.8394840543145553,0.8171717104081869,0.9157204574921426,-1.5011091846705789,-1.4096661293672816,-0.2663662711715668,-0.5854245216480723,-2.3487815712084177,0.48359733338582317,1.2006404671465016,0.22436163589261923,-0.8804432546253935,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.24012111727444246,-1.0651920463200735,1.5575238345716382,-0.06644190365437372,-0.1015871665608939,0.23461189453833256,0.3356188535219455,1.1278881943464851,0.5063741081009763,-1.4730443819864183,0.18547846840212692,0.7163416218751283,0.0740396107399138,0.9374632980184617,1.3690801337160428,0.5533150962848563,-0.4412615480957381,-1.3372914807239245,-0.22462102536728,1.0028813675696993,1.2582539112433653,-1.0544043805989356,-0.8066758709708679,0.9759540129944658,-1.3251747934460218,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-2.1336555401001265,-1.0245786861621213,-1.4676128666790027,-0.05276156290594618,-0.6830558735415154,1.4746482667911258,1.3172077202636974,-1.2033286803914314,2.177686534345195,-0.44504648558367266,0.5081484267900366,0.5417617980235555,-0.6146168718372281,-1.0939116784157306,3.0050360540294525,0.5710323619438803,-0.8391448982126969,-0.05085960320826385,-0.5133878777407697,-0.2786723737194054,-1.4623914595249878,1.4463628929927193,-0.11039861131414672,1.1380669823934466,0.2925309631396366,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.2971879606475742,-0.7539369660328158,1.1626388201962468,0.012802081740994148,1.2329933188722508,0.20703963402080963,-0.44372731352294886,0.273171871960104,-0.3994137338745137,1.8145638701036997,0.27170186348040165,0.4584317393984881,0.1027992918640455,-0.15818017277395516,1.5379630670293516,0.8034576761879101,-0.7476006018249621,-0.826961088402002,0.1002066270733721,-0.17319179224200426,0.11821054107261204,0.2395507397480349,0.33507083303784274,-0.8530786732548675,-1.8382183587791998,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.074551145625841,2.7225286298577642,-0.23413201068487274,0.6327905871926316,2.1644342051839462,-0.04927480859061624,1.8860673537041537,-0.1649242117439838,-0.07294246084375622,-0.3489990098269152,-0.4267710850579745,-0.7920383409442654,-1.097426220088804,0.5084615911986234,-1.0263890285083328,0.09690388124527773,0.4641511508625809,-0.43372468952578286,1.1434357560574786,1.3413035857987672,0.6859114403701192,-0.17014198856075255,-0.4323809956547263,-0.8635868986462467,-2.1681095097285996,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.43926800694917423,0.37047394883782797,2.0421899907056673,-0.26669431621208567,-0.48043491006457417,-0.3277684226285481,1.8846095049919431,-0.03177324548473511,0.6691783671186944,-2.406144933930113,0.7329100706011499,-1.5302836494714638,0.7437902391554848,1.2640781157857264,-1.0785299849258638,0.13536614123052218,0.1295228438445136,-0.682743662908484,-0.08101874278550657,0.9580745379259957,1.5325208642225374,-0.020269503306033707,-0.2719743580205901,0.8550268722315986,0.9177954388437349,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.4273771229138954,0.8646116769163188,-0.968499933417392,1.5577028714143495,-1.180384068900587,0.07065424644934802,0.9215959566849514,-0.27004232565196423,0.08882595510724618,0.5536533868004564,-0.3295924703224536,-0.094201413336217,1.0810230618285201,-0.12468996342903206,-0.42869369868961105,0.20671802402662764,0.3041777337218899,0.01849998028132355,-0.04099340090036398,1.3468659196195296,0.4260896396254467,0.07880228851345951,0.9429316336803746,0.4880437058306728,-0.4775974097052947,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.32656602233265003,0.672548132468557,1.0510116939578187,-0.005269999899294409,-0.1426207219795273,-1.904765716432857,1.0842413357342477,-0.3810830879962342,-2.167677076873395,1.3880748475950202,1.1347672330259597,0.2722325483318667,0.5160214545802366,-0.3260147452636678,0.8826337388818261,1.0974000057859021,-0.5542469158657647,1.1558994118499166,-0.7422102242351855,-0.2720136795728129,1.2202684362569842,1.0192881365246478,1.0453521013973488,-0.8790243791036821,1.6938227237342411,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.4558231196000582,-0.5224461935661499,-0.9643266921108448,0.27198730442827407,0.38079430272753223,0.46973158596405834,-0.29040541028221495,-0.1403850062245691,0.4169029329816167,0.25206030962167547,2.1234679851001586,-1.2870526285548503,-0.5470409457022206,-0.7360717498259897,0.12005506653466548,0.44612532109728514,0.00816581194308415,0.11401358373802309,-0.5870853694602376,-0.1562484587566375,-0.7127027250463823,0.4781622062127742,-1.0940165310119958,-0.10565117707129662,0.7787843533337387,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.6190942546723879,1.556794911439634,-0.2777887056597523,-0.7230166094674465,-0.49478152022944133,0.5926044180384848,-0.026030361761237485,1.088339497042828,-1.1688985866914425,-0.25467992438673515,0.7859389375366413,0.500960182536465,0.4593849578539627,0.7868538888795775,0.590757414266106,0.18272393122538882,-0.7533602751345303,-0.9675679138364394,0.8270229301768718,-0.950248841559963,-0.5137307165608431,-1.42135601803138,-1.0174724026302777,-0.1669062292370794,0.5389438556497024,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.1816748539396498,-0.19220169311305652,-0.5651859913631345,0.212843438689735,0.12047181649266867,-0.7998279446586548,1.0389623833229755,-0.9673242738785452,-0.40944059853202475,-3.1935653267416892,1.7310242963661095,0.74821130557442,-0.3534358665221546,0.1274361081651077,2.5332293087552125,0.831551462199411,-0.7207852340595686,-2.3327258524553662,0.4333785231475816,-0.9933014062904404,-0.10249274753995873,-1.0953869724914405,2.385041605611838,-0.714131657017483,1.5447857705720505,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.5714633235297607,-0.8682344840410189,1.0671886912468524,-0.25410603342251137,-0.7741439107024796,-0.6442673157573864,0.2539836441586538,0.8323143424247438,-0.9612278382135372,-2.377614071300598,1.6834010213395867,-0.020649796192053177,0.4123159969197661,-0.7111539356631102,-0.5765903910218223,1.6328515147220621,-0.4034853860730388,-0.7723603015518994,0.16167094851890093,1.482085639051195,-1.5964176718290484,0.40810970424053084,0.0043638994980081235,0.434085336079573,-1.635456774375612,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
